Source,Target,Weight
JON,OTHOR,5.0
JON_ARRYN,LITTLEFINGER,9.0
JON_ARRYN,LYSA,13.0
JONOS_BRACKEN,ROBB,5.0
JORAH,QOTHO,5.0
LYSA,MORD,5.0
MAESTER_LUWIN,NED,5.0
MARILLION,RODRIK,5.0
MARILLION,TYRION,5.0
MASHA_HEDDLE,TYRION,5.0
MOUNTAIN,NED,5.0
RENLY,SANSA,7.0
ROBB,ROBERT,7.0
ROBB,TYWIN,22.0
ROBB,WALDER,35.0
ROBERT,STANNIS,18.0
AERYS,RICKARD_STARK,4.0
ALLISER_THORNE,RAST,4.0
ARYA,ILYN_PAYNE,6.0
BAELOR,YOREN,4.0
BARRISTAN,JAIME,4.0
BARRISTAN,LITTLEFINGER,4.0
BARRISTAN,PYCELLE,4.0
BRAN,CERSEI,4.0
BRONN,VARDIS_EGEN,4.0
CATELYN,JON_ARRYN,6.0
CATELYN,MARILLION,4.0
CATELYN,TYWIN,6.0
CERSEI,HOUND,22.0
DAENERYS,VARYS,132.0
DAREON,JON,4.0
DAREON,SAM,6.0
GARED,WILL,4.0
GRENN,JEOR,11.0
HOUND,LORAS,4.0
HUGH_OF_THE_VALE,LITTLEFINGER,4.0
ILYN_PAYNE,JOFFREY,6.0
ILYN_PAYNE,NED,6.0
ILYN_PAYNE,SANSA,8.0
ILYN_PAYNE,YOREN,4.0
JAIME,ROS,4.0
JAIME,THEON,8.0
JORY_CASSEL,ROBERT,4.0
LANCEL,NED,4.0
LITTLEFINGER,SEPTA_MORDANE,4.0
LITTLEFINGER,TYWIN,38.0
LORAS,MOUNTAIN,4.0
LORAS,NED,4.0
LORAS,SANSA,37.0
LYANNA,NED,41.0
MIRRI_MAZ_DUUR,RAKHARO,4.0
MOUNTAIN,ROBERT,4.0
MOUNTAIN,SANSA,4.0
MYCAH,SANSA,4.0
NED,RICKARD_STARK,9.0
OLD_NAN,ROBB,4.0
ROYCE,WILL,4.0
RYGER_RIVERS,WALDER,4.0
SANSA,YOREN,4.0
SHAE,TYWIN,29.0
STEVRON_FREY,WALDER,4.0
WAYMAR_ROYCE,WILL,4.0
ADDAM_MARBRAND,KEVAN,3.0
ADDAM_MARBRAND,LEO_LEFFORD,3.0
AERYS,JAIME,13.0
AERYS,RHAEGAR,3.0
ALLISER_THORNE,OTHELL_YARWYCK,12.0
ARYA,JAIME,8.0
ARYA,PYCELLE,3.0
ASSASSIN,CATELYN,3.0
BAELOR,ILYN_PAYNE,3.0
BALON,THEON,84.0
BARRISTAN,LANCEL,3.0
BARRISTAN,RENLY,3.0
BERIC,NED,8.0
BRAN,WILL,3.0
BRANDON_STARK,NED,3.0
BRONN,MORD,3.0
BRONN,ROBIN,3.0
CATELYN,HOSTER,13.0
CATELYN,JOFFREY,8.0
CATELYN,MASHA_HEDDLE,3.0
CATELYN,YOREN,3.0
CERSEI,ILYN_PAYNE,8.0
CERSEI,JON,30.0
CERSEI,JON_ARRYN,3.0
CERSEI,LANCEL,60.0
CERSEI,RENLY,3.0
CERSEI,TYWIN,214.0
COHOLLO,DROGO,3.0
DAENERYS,NED,6.0
DOREAH,DROGO,3.0
DOREAH,WINE_MERCHANT,3.0
GENDRY,HOT_PIE,40.0
GREATJON_UMBER,JAIME,3.0
GREATJON_UMBER,TYWIN,3.0
HODOR,ROBB,3.0
HODOR,THEON,8.0
HODOR,TYRION,3.0
HOSTER,WALDER,6.0
HOUND,ILYN_PAYNE,5.0
IRRI,JHIQUI,3.0
IRRI,VISERYS,3.0
JANOS,RENLY,3.0
JEOR,NED,3.0
JEOR,ROBERT,3.0
JOFFREY,RENLY,13.0
JOFFREY,TYWIN,98.0
JOFFREY,YOREN,3.0
JON,ROBERT,6.0
JON,WILL,3.0
JON_ARRYN,PYCELLE,5.0
JON_ARRYN,ROBIN,5.0
JORAH,RHAEGO,3.0
LITTLEFINGER,STANNIS,16.0
LORAS,ROBERT,3.0
LYANNA,ROBERT,5.0
MERYN_TRANT,NED,3.0
MORD,ROBIN,3.0
MORD,VARDIS_EGEN,3.0
MYCAH,NED,3.0
MYRCELLA,TYRION,16.0
NED,PYP,3.0
NED,WILL,3.0
OSHA,RICKON,34.0
QOTHO,RAKHARO,3.0
RAKHARO,VISERYS,3.0
RAKHARO,WINE_MERCHANT,3.0
RAST,TYRION,3.0
RENLY,ROBB,11.0
RICKON,ROBB,5.0
ROBIN,VARDIS_EGEN,3.0
THEON,WALDER,3.0
VARYS,YOREN,3.0
ADDAM_MARBRAND,TYWIN,2.0
AEGON,AERYS,2.0
AEGON,MAESTER_AEMON,5.0
AERYS,BARRISTAN,7.0
AERYS,CATELYN,2.0
AERYS,JORAH,2.0
AERYS,MAESTER_AEMON,2.0
AERYS,RENLY,2.0
AERYS,SANSA,4.0
AERYS,SEPTA_MORDANE,2.0
ALLISER_THORNE,MAESTER_AEMON,17.0
ARYA,ILLYRIO,2.0
ARYA,LOMMY_GREENHANDS,2.0
ARYA,TYRION,18.0
ASSASSIN,BRAN,2.0
ASSASSIN,ROBB,2.0
BAELOR,CERSEI,2.0
BAELOR,HOUND,2.0
BAELOR,JOFFREY,4.0
BAELOR,PYCELLE,2.0
BAELOR,SANSA,2.0
BALON,TYRION,2.0
BENJEN,CATELYN,2.0
BENJEN,CERSEI,2.0
BENJEN,JEOR,2.0
BENJEN,ROBERT,2.0
BERIC,ROBERT,2.0
BORCAS,DAREON,2.0
BORCAS,PYP,2.0
BOWEN_MARSH,DAREON,2.0
BOWEN_MARSH,PYP,2.0
BRAN,BRANDON_STARK,2.0
BRAN,HOUND,2.0
BRANDON_STARK,CATELYN,5.0
BRANDON_STARK,JON,2.0
BRANDON_STARK,RICKARD_STARK,2.0
BRONN,KEVAN,2.0
BRONN,MARILLION,2.0
CATELYN,DAENERYS,2.0
CATELYN,HOUND,4.0
CATELYN,STEVRON_FREY,2.0
CERSEI,JEOR,2.0
CERSEI,LYANNA,2.0
CERSEI,MERYN_TRANT,30.0
CERSEI,ROS,2.0
CERSEI,STANNIS,9.0
CERSEI,YOREN,2.0
DAENERYS,JHIQUI,2.0
DAENERYS,SANSA,73.0
DAREON,GRENN,2.0
DAREON,JEOR,2.0
DAREON,LUKE,2.0
DAREON,MAESTER_AEMON,2.0
DAREON,RAST,2.0
DOREAH,IROGENIA,2.0
DOREAH,JHIQUI,2.0
DOREAH,JORAH,9.0
DROGO,IRRI,2.0
DROGO,ROBERT,2.0
GALBART_GLOVER,GREATJON_UMBER,2.0
GALBART_GLOVER,JONOS_BRACKEN,2.0
GALBART_GLOVER,ROBB,2.0
GENDRY,VARYS,2.0
GENDRY,YOREN,9.0
GREATJON_UMBER,NED,2.0
GREATJON_UMBER,RENLY,2.0
GREATJON_UMBER,RICKARD_KARSTARK,2.0
GREATJON_UMBER,STANNIS,2.0
GREATJON_UMBER,WALDER,2.0
HIGH_SEPTON,NED,2.0
HODOR,OSHA,38.0
HOUND,JAIME,15.0
HOUND,ROBB,4.0
HOUND,YOREN,2.0
HUGH_OF_THE_VALE,JON_ARRYN,2.0
HUGH_OF_THE_VALE,MOUNTAIN,2.0
HUGH_OF_THE_VALE,SANSA,2.0
ILLYRIO,JORAH,2.0
ILYN_PAYNE,MERYN_TRANT,4.0
ILYN_PAYNE,VARYS,2.0
JAIME,JON_ARRYN,2.0
JAIME,RICKARD_STARK,2.0
JAIME,SANSA,30.0
JAIME,TYSHA,2.0
JANOS,LITTLEFINGER,6.0
JANOS,PYCELLE,4.0
JAREMY_RYKKER,JEOR,2.0
JAREMY_RYKKER,OTHELL_YARWYCK,2.0
JAREMY_RYKKER,PYP,2.0
JEOR,JOFFREY,2.0
JOANNA,TYRION,2.0
JOFFREY,JON,2.0
JOFFREY,TOMMEN,26.0
JOFFREY,WILL,2.0
JON,RODRIK,2.0
JON,ROS,2.0
JON_ARRYN,VARYS,2.0
JORAH,LITTLE_BIRD,2.0
JORAH,NED,2.0
JORAH,VARYS,25.0
JORY_CASSEL,MHAEGEN,2.0
JORY_CASSEL,THEON,2.0
JOYEUSE,WALDER,6.0
KEVAN,LEO_LEFFORD,2.0
KEVAN,SHAGGA,2.0
LANCEL,RENLY,2.0
LEO_LEFFORD,TYRION,2.0
LITTLEFINGER,LORAS,19.0
LITTLEFINGER,MHAEGEN,2.0
LITTLEFINGER,YOREN,2.0
LORAS,MACE,8.0
LUKE,PYP,2.0
MAESTER_LUWIN,ROBERT,2.0
MAESTER_LUWIN,RODRIK,7.0
MAESTER_LUWIN,SANSA,2.0
MARILLION,MERYN_TRANT,2.0
MARILLION,YOREN,2.0
MELESSA,SAM,25.0
MORD,RODRIK,2.0
NED,ROOSE_BOLTON,2.0
NED,ROS,2.0
NED,STEFFON,2.0
NED,VARLY,2.0
OLD_NAN,THEON,2.0
